,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
1842,2542,2232.943467123716,2410.0,2363.3333333333335,2422.0,2435.8,2403.4333333333334,2055.488,2281.28,2157.7166666666667
1843,2543,2234.03310490507,2480.0,2410.0,2422.0,2435.8,2403.4333333333334,2055.488,2287.89,2157.7166666666667
1844,2544,2235.1227426864234,2480.0,2511.3333333333335,2453.0,2435.8,2403.4333333333334,2055.488,2272.3,2157.7166666666667
1845,2545,2236.2123804677776,2480.0,2511.3333333333335,2450.4,2435.8,2413.4,2055.488,2272.3,2157.7166666666667
1846,2546,2237.302018249131,2480.0,2511.3333333333335,2501.2,2452.5,2413.4,2055.488,2267.82,2157.7166666666667
1847,2547,2238.3916560304842,2587.5,2511.3333333333335,2501.2,2452.5,2413.4,2055.488,2267.82,2157.7166666666667
1848,2548,2239.4812938118384,2587.5,2541.0,2501.2,2452.5,2413.4,2055.488,2267.82,2157.7166666666667
1849,2549,2240.5709315931917,2587.5,2541.0,2501.2,2452.6,2413.4,2055.488,2267.82,2157.7166666666667
1850,2550,2241.660569374546,2587.5,2541.0,2501.2,2452.6,2413.4,2055.488,2267.82,2157.7166666666667
1851,2551,2242.7502071558993,2511.0,2541.0,2538.6,2452.6,2416.1,2055.488,2267.82,2157.7166666666667
1852,2552,2243.8398449372535,2511.0,2541.0,2538.6,2466.8,2416.1,2055.488,2276.81,2157.7166666666667
1853,2553,2244.929482718607,2486.0,2515.3333333333335,2538.6,2478.9,2416.1,2055.488,2285.81,2157.7166666666667
1854,2554,2246.019120499961,2486.0,2515.3333333333335,2538.6,2525.5,2427.3,2055.488,2285.81,2157.7166666666667
1855,2555,2247.1087582813143,2486.0,2506.0,2538.6,2525.5,2427.3,2055.488,2286.53,2157.7166666666667
1856,2556,2248.1983960626676,2535.0,2506.0,2483.2,2525.5,2427.3,2055.488,2296.52,2157.7166666666667
1857,2557,2249.288033844022,2535.0,2506.0,2483.2,2525.5,2440.8,2055.488,2306.29,2157.7166666666667
1858,2558,2250.377671625375,2535.0,2464.6666666666665,2483.2,2521.1,2440.8,2055.488,2306.29,2157.7166666666667
1859,2559,2251.4673094067293,2435.0,2464.6666666666665,2480.6,2521.1,2451.9333333333334,2055.488,2306.29,2157.7166666666667
1860,2560,2252.5569471880826,2435.0,2464.6666666666665,2480.6,2521.1,2451.9333333333334,2055.488,2306.46,2157.7166666666667
1861,2561,2253.646584969437,2435.0,2464.6666666666665,2507.4,2521.1,2451.9333333333334,2055.488,2306.67,2157.7166666666667
1862,2562,2254.73622275079,2435.0,2477.0,2507.4,2521.1,2451.9333333333334,2055.488,2295.96,2157.7166666666667
1863,2563,2255.8258605321435,2442.5,2477.0,2549.8,2521.6,2457.6666666666665,2055.488,2295.58,2157.7166666666667
1864,2564,2256.9154983134977,2442.5,2489.0,2549.8,2521.6,2507.633333333333,2055.488,2295.96,2157.7166666666667
1865,2565,2258.005136094851,2442.5,2489.0,2549.8,2529.4,2507.633333333333,2055.488,2305.56,2157.7166666666667
1866,2566,2259.094773876205,2571.5,2489.0,2503.6,2529.4,2509.4333333333334,2055.488,2305.57,2157.7166666666667
1867,2567,2260.1844116575585,2571.5,2626.3333333333335,2503.6,2529.4,2509.4333333333334,2055.488,2305.05,2157.7166666666667
1868,2568,2261.2740494389127,2571.5,2626.3333333333335,2503.6,2529.4,2509.4333333333334,2055.488,2305.05,2157.7166666666667
1869,2569,2262.363687220266,2659.0,2626.3333333333335,2503.6,2529.4,2509.4333333333334,2055.488,2310.48,2157.7166666666667
1870,2570,2263.4533250016193,2659.0,2626.3333333333335,2560.0,2538.0,2460.6,2055.488,2310.48,2157.7166666666667
1871,2571,2264.5429627829735,2525.5,2544.3333333333335,2560.0,2538.0,2462.4,2055.488,2310.48,2157.7166666666667
1872,2572,2265.632600564327,2525.5,2544.3333333333335,2560.0,2543.6,2462.4,2055.488,2310.48,2157.7166666666667
1873,2573,2266.722238345681,2525.5,2552.3333333333335,2560.0,2543.6,2462.4,2055.488,2310.65,2157.7166666666667
1874,2574,2267.8118761270343,2460.5,2552.3333333333335,2578.2,2543.6,2462.4,2055.488,2310.31,2157.7166666666667
1875,2575,2268.9015139083886,2460.5,2524.3333333333335,2578.2,2543.6,2462.4,2055.488,2310.31,2157.7166666666667
1876,2576,2269.991151689742,2460.5,2524.3333333333335,2578.2,2543.6,2462.4,2055.488,2310.31,2157.7166666666667
1877,2577,2271.080789471096,2629.0,2524.3333333333335,2578.2,2543.6,2462.4,2055.488,2310.31,2157.7166666666667
1878,2578,2272.1704272524494,2629.0,2524.3333333333335,2568.6,2542.9,2462.4,2055.488,2293.25,2157.7166666666667
1879,2579,2273.2600650338027,2629.0,2524.3333333333335,2568.6,2542.9,2462.4,2055.488,2293.25,2157.7166666666667
1880,2580,2274.349702815157,2629.0,2597.3333333333335,2537.4,2542.9,2466.9333333333334,2055.488,2293.25,2157.7166666666667
1881,2581,2275.43934059651,2629.0,2597.3333333333335,2537.4,2542.9,2466.9333333333334,2055.488,2293.25,2157.7166666666667
1882,2582,2276.5289783778644,2593.0,2597.3333333333335,2537.4,2542.9,2476.4666666666667,2055.488,2293.25,2157.7166666666667
1883,2583,2277.6186161592177,2593.0,2588.6666666666665,2537.4,2572.0,2476.4666666666667,2055.488,2293.25,2157.7166666666667
1884,2584,2278.708253940572,2557.0,2588.6666666666665,2537.4,2572.0,2476.4666666666667,2055.488,2293.25,2157.7166666666667
1885,2585,2279.797891721925,2557.0,2588.6666666666665,2537.4,2572.0,2476.4666666666667,2055.488,2293.25,2157.7166666666667
1886,2586,2280.8875295032785,2557.0,2588.6666666666665,2582.2,2572.0,2476.4666666666667,2055.488,2293.25,2157.7166666666667
1887,2587,2281.9771672846327,2557.0,2588.6666666666665,2582.2,2594.2,2483.9666666666667,2055.488,2293.25,2157.7166666666667
1888,2588,2283.066805065986,2557.0,2588.6666666666665,2582.2,2594.3,2483.9666666666667,2055.488,2293.25,2157.7166666666667
1889,2589,2284.1564428473403,2557.0,2551.0,2582.2,2586.0,2483.9666666666667,2055.488,2293.25,2157.7166666666667
1890,2590,2285.2460806286936,2557.0,2551.0,2584.0,2586.0,2483.9666666666667,2055.488,2293.25,2157.7166666666667
1891,2591,2286.335718410048,2557.0,2551.0,2584.0,2612.4,2483.9666666666667,2055.488,2293.25,2157.7166666666667
1892,2592,2287.425356191401,2559.5,2551.0,2584.0,2612.4,2448.733333333333,2055.488,2293.25,2157.7166666666667
1893,2593,2288.5149939727544,2559.5,2551.0,2610.2,2613.3,2448.733333333333,2055.488,2293.21,2157.7166666666667
1894,2594,2289.6046317541086,2559.5,2551.0,2610.2,2613.3,2453.9333333333334,2055.488,2293.21,2157.7166666666667
1895,2595,2290.694269535462,2559.5,2578.0,2610.2,2613.3,2453.9333333333334,2055.488,2293.21,2157.7166666666667
1896,2596,2291.783907316816,2577.0,2578.0,2620.0,2589.6,2453.9333333333334,2055.488,2293.21,2157.7166666666667
1897,2597,2292.8735450981694,2577.0,2645.6666666666665,2620.0,2589.6,2453.9333333333334,2055.488,2293.25,2157.7166666666667
1898,2598,2293.9631828795236,2577.0,2645.6666666666665,2634.6,2589.6,2453.9333333333334,2055.488,2293.25,2157.7166666666667
1899,2599,2295.052820660877,2577.0,2645.6666666666665,2634.6,2589.6,2462.2,2055.488,2293.25,2157.7166666666667
1900,2600,2296.142458442231,2577.0,2645.6666666666665,2634.6,2589.6,2462.2,2055.488,2293.25,2157.7166666666667
1901,2601,2297.2320962235844,2699.0,2645.6666666666665,2634.6,2412.1,2462.2,2055.488,2293.25,2157.7166666666667
1902,2602,2298.3217340049378,2699.0,2660.3333333333335,2634.6,2412.1,2462.2,2055.488,2293.25,2157.7166666666667
1903,2603,2299.411371786292,2699.0,2660.3333333333335,2642.6,2407.8,2462.2,2055.488,2293.25,2157.7166666666667
1904,2604,2300.5010095676453,2699.0,2660.3333333333335,2642.6,2407.8,2462.2,2055.488,2293.25,2157.7166666666667
1905,2605,2301.5906473489995,2683.0,2673.0,2642.6,2407.8,2462.2,2055.488,2293.25,2157.7166666666667
1906,2606,2302.680285130353,2618.0,2673.0,2642.6,2407.8,2452.3333333333335,2055.488,2293.25,2157.7166666666667
1907,2607,2303.769922911707,2618.0,2673.0,2642.6,2407.8,2452.3333333333335,2055.488,2293.25,2157.7166666666667
1908,2608,2304.8595606930603,2597.0,2592.3333333333335,2642.6,2407.8,2452.3333333333335,2055.488,2293.21,2157.7166666666667
1909,2609,2305.9491984744136,2597.0,2536.3333333333335,2569.0,2407.8,2452.3333333333335,2055.488,2293.21,2157.7166666666667
1910,2610,2307.038836255768,2515.0,2536.3333333333335,2190.2,2407.8,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1911,2611,2308.128474037121,2515.0,2536.3333333333335,2190.2,2405.4,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1912,2612,2309.2181118184753,2515.0,1929.6666666666667,2181.0,2405.4,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1913,2613,2310.3077495998286,1587.0,1929.6666666666667,2181.0,2405.4,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1914,2614,2311.397387381183,1648.0,1903.6666666666667,2181.0,2405.4,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1915,2615,2312.487025162536,1648.0,1903.6666666666667,2181.0,2405.4,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1916,2616,2313.5766629438904,1648.0,1903.6666666666667,2181.0,2404.8,2452.3333333333335,2055.488,2299.13,2157.7166666666667
1917,2617,2314.6663007252437,1648.0,1903.6666666666667,2181.0,2404.8,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1918,2618,2315.755938506597,1648.0,1903.6666666666667,2168.2,2404.8,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1919,2619,2316.845576287951,1648.0,1937.0,2168.2,2404.8,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1920,2620,2317.9352140693045,2526.0,1937.0,2167.0,2404.8,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1921,2621,2319.0248518506587,2526.0,1937.0,2167.0,2390.9,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1922,2622,2320.114489632012,2526.0,2553.6666666666665,2167.0,2390.9,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1923,2623,2321.204127413366,2562.0,2553.6666666666665,2167.0,2390.9,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1924,2624,2322.2937651947195,2562.0,2553.6666666666665,2167.0,2390.9,2399.5666666666666,2055.488,2299.13,2157.7166666666667
1925,2625,2323.383402976073,2562.0,2553.6666666666665,2212.8,2390.9,2399.5666666666666,2055.488,2299.13,2157.7166666666667
